game_start_month,game_start_day,game_id,captured_piece_byblack,captured_piece_bywhite,game_duration,game_end_time,game_pgn,game_start_time,game_status,is_active,last_move_time_black,last_move_time_white,latest_fen,loser_id,player_black,player_category,player_white,result,termination_id,termination_reason,total_move_duration_black,total_move_duration_white,winner,winner_id
4,17,efbdd8e7-4dea-5bd4-a670-465dbc927e3d,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 11:52:31.846+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,ee571705-f927-5e65-877a-8aba508a6ac9,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 13:35:39.330+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,ee3d5236-fccc-5ca1-bc10-ed5cb324dde0,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 10:21:56.852+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,ed2305ae-e8f9-5387-b860-3d80ae6c02f7,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 08:28:09.649+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,ed0f6320-215b-5d7a-b0a5-5002b338eb52,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 15:13:59.251+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,eca23e87-baff-53d4-8179-f3d12b47f8c6,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 13:51:25.550+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,ec5a90bb-9705-5767-84fb-86e78d213d51,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 13:21:07.681+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,e99caacd-6c45-5906-bd9f-b79e62f25963,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 07:55:22.964+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,e9268f33-85e7-5691-96b1-26ac2c8fc062,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 14:08:43.278+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
4,17,e8617523-a281-5341-ac9f-20c21515451d,,,,,[Event \"CS2 Self-GamePlay\"] [Site \"InHouse-DGXNodes\"] [Date \"2024-04-16\"] [Black \"AZ0Model\"] [EventSponsor \"Avrioc Technologies\"] [Mode \"ICS\"],2024-04-17 12:32:47.807+0000,Inprogress,True,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,0-0,2b435cf4-6eb7-5d64-bdce-1c047fdb2033,,,,,,,
